"","mots","motifs","Oeuvre"
"5039","et","et","Huysmans-Rebours"
"5040","de","de","Huysmans-Rebours"
"5041","ces","ce","Huysmans-Rebours"
"5042","jours","NC","Huysmans-Rebours"
"5043","-là","là","Huysmans-Rebours"
"5044",",",",","Huysmans-Rebours"
"5045","il","il","Huysmans-Rebours"
"5046","se","se","Huysmans-Rebours"
"5047","remémorait","VCOND","Huysmans-Rebours"
"5048","de","de","Huysmans-Rebours"
"5049","les","le","Huysmans-Rebours"
"5050","entrevues","NC","Huysmans-Rebours"
"5051","décolorées","PPAS","Huysmans-Rebours"
"5052",",",",","Huysmans-Rebours"
"5053","le","le","Huysmans-Rebours"
"5054","père","NC","Huysmans-Rebours"
"5055","et","et","Huysmans-Rebours"
"5056","la","le","Huysmans-Rebours"
"5057","mère","NC","Huysmans-Rebours"
"5058","assis","NC","Huysmans-Rebours"
"5059",",",",","Huysmans-Rebours"
"5060","en","en","Huysmans-Rebours"
"5061","face","NC","Huysmans-Rebours"
"5062","l'","le","Huysmans-Rebours"
"5063","un","un","Huysmans-Rebours"
"5064","de","de","Huysmans-Rebours"
"5065","l'","le","Huysmans-Rebours"
"5066","autre","autre","Huysmans-Rebours"
"5067",",",",","Huysmans-Rebours"
"5068","devant","devant","Huysmans-Rebours"
"5069","un","un","Huysmans-Rebours"
"5070","guéridon","NC","Huysmans-Rebours"
"5071","qui","qui","Huysmans-Rebours"
"5072","était","être","Huysmans-Rebours"
"5073","seul","ADJ","Huysmans-Rebours"
"5074","éclairé","PPAS","Huysmans-Rebours"
"5075","par","par","Huysmans-Rebours"
"5076","une","un","Huysmans-Rebours"
"5077","lampe","NC","Huysmans-Rebours"
"5078","à","à","Huysmans-Rebours"
"5079","le","le","Huysmans-Rebours"
"5080","abatjour","NC","Huysmans-Rebours"
"5081","très","très","Huysmans-Rebours"
"5082","baissé","PPAS","Huysmans-Rebours"
"5083",",",",","Huysmans-Rebours"
"5084","car","car","Huysmans-Rebours"
"5085","la","le","Huysmans-Rebours"
"5086","duchesse","NC","Huysmans-Rebours"
"5087","ne","ne","Huysmans-Rebours"
"5088","pouvait","VIMP","Huysmans-Rebours"
"5089","supporter","INF","Huysmans-Rebours"
"5090","sans","sans","Huysmans-Rebours"
"5091","crises","NCABS","Huysmans-Rebours"
"5092","de","de","Huysmans-Rebours"
"5093","nerfs","NC","Huysmans-Rebours"
"5094","la","le","Huysmans-Rebours"
"5095","clarté","NC","Huysmans-Rebours"
"5096","et","et","Huysmans-Rebours"
"5097","le","le","Huysmans-Rebours"
"5098","bruit","NC","Huysmans-Rebours"
"5099",";",";","Huysmans-Rebours"
"5100","dans","dans","Huysmans-Rebours"
"5101","l'","le","Huysmans-Rebours"
"5102","ombre","NC","Huysmans-Rebours"
"5103",",",",","Huysmans-Rebours"
"5104","ils","ils","Huysmans-Rebours"
"5105","échangeaient","VIMP","Huysmans-Rebours"
"5106","deux","NUM","Huysmans-Rebours"
"5107","mots","NC","Huysmans-Rebours"
"5108","à","à","Huysmans-Rebours"
"5109","peine","NCABS","Huysmans-Rebours"
"5110",",",",","Huysmans-Rebours"
"5111","puis","puis","Huysmans-Rebours"
"5112","le","le","Huysmans-Rebours"
"5113","duc","NC","Huysmans-Rebours"
"5114","s'","se","Huysmans-Rebours"
"5115","éloignait","VIMP","Huysmans-Rebours"
"5116","indifférent","ADJ","Huysmans-Rebours"
"5117","et","et","Huysmans-Rebours"
"5118","ressautait","VIMP","Huysmans-Rebours"
"5119","à","à","Huysmans-Rebours"
"5120","le","le","Huysmans-Rebours"
"5121","plus","plus","Huysmans-Rebours"
"5122","vite","ADV","Huysmans-Rebours"
"5123","dans","dans","Huysmans-Rebours"
"5124","le","le","Huysmans-Rebours"
"5125","premier","ADJ","Huysmans-Rebours"
"5126","train","NC","Huysmans-Rebours"
"5127",".",".","Huysmans-Rebours"
"5128","Chez","chez","Huysmans-Rebours"
"5129","les","le","Huysmans-Rebours"
"5130","jésuites","NC","Huysmans-Rebours"
"5131","où","où","Huysmans-Rebours"
"5132","Jean","NP","Huysmans-Rebours"
"5133","fut","être","Huysmans-Rebours"
"5134","dépêché","PPAS","Huysmans-Rebours"
"5135","pour","pour","Huysmans-Rebours"
"5136","faire","INF","Huysmans-Rebours"
"5137","ses","DETPOSS","Huysmans-Rebours"
"5138","classes","NC","Huysmans-Rebours"
"5139",",",",","Huysmans-Rebours"
"5140","son","DETPOSS","Huysmans-Rebours"
"5141","existence","NC","Huysmans-Rebours"
"5142","fut","être","Huysmans-Rebours"
"5143","plus","plus","Huysmans-Rebours"
"5144","bienveillante","ADJ","Huysmans-Rebours"
"5145","et","et","Huysmans-Rebours"
"5146","plus","plus","Huysmans-Rebours"
"5147","douce","ADJ","Huysmans-Rebours"
"5148",".",".","Huysmans-Rebours"
"5149","Les","le","Huysmans-Rebours"
"5150","Pères","NP","Huysmans-Rebours"
"5151","se","se","Huysmans-Rebours"
"5152","mirent","VPS","Huysmans-Rebours"
"5153","à","à","Huysmans-Rebours"
"5154","choyer","INF","Huysmans-Rebours"
"5155","l'","le","Huysmans-Rebours"
"5156","enfant","NC","Huysmans-Rebours"
"5157","dont","dont","Huysmans-Rebours"
"5158","l'","le","Huysmans-Rebours"
"5159","intelligence","NCABS","Huysmans-Rebours"
"5160","les","le","Huysmans-Rebours"
"5161","étonnait","VIMP","Huysmans-Rebours"
"5162",";",";","Huysmans-Rebours"
"5163","cependant","cependant","Huysmans-Rebours"
"5164",",",",","Huysmans-Rebours"
"5165","en","en","Huysmans-Rebours"
"5166","dépit","NCABS","Huysmans-Rebours"
"5167","de","de","Huysmans-Rebours"
"5168","leurs","DETPOSS","Huysmans-Rebours"
"5169","efforts","NC","Huysmans-Rebours"
"5170",",",",","Huysmans-Rebours"
"5171","ils","ils","Huysmans-Rebours"
"5172","ne","ne","Huysmans-Rebours"
"5173","purent","VPS","Huysmans-Rebours"
"5174","obtenir","INF","Huysmans-Rebours"
"5175","qu'","que","Huysmans-Rebours"
"5176","se","se","Huysmans-Rebours"
"5177","livrât","VSUBI","Huysmans-Rebours"
"5178","à","à","Huysmans-Rebours"
"5179","de","un","Huysmans-Rebours"
"5180","les","le","Huysmans-Rebours"
"5181","études","NC","Huysmans-Rebours"
"5182","disciplinées","PPAS","Huysmans-Rebours"
"5183",";",";","Huysmans-Rebours"
"5184","il","il","Huysmans-Rebours"
"5185","mordait","VIMP","Huysmans-Rebours"
"5186","à","à","Huysmans-Rebours"
"5187","certains","certain","Huysmans-Rebours"
"5188","travaux","NC","Huysmans-Rebours"
"5189",",",",","Huysmans-Rebours"
"5190","devenait","VIMP","Huysmans-Rebours"
"5191","prématurément","ADVPHA","Huysmans-Rebours"
"5192","ferré","PPAS","Huysmans-Rebours"
"5193","sur","sur","Huysmans-Rebours"
"5194","la","le","Huysmans-Rebours"
"5195","langue","NCCOR","Huysmans-Rebours"
"5196","latine","ADJ","Huysmans-Rebours"
"5197",",",",","Huysmans-Rebours"
"5198","mais","mais","Huysmans-Rebours"
"5199",",",",","Huysmans-Rebours"
"5200","en","en","Huysmans-Rebours"
"5201","revanche","NC","Huysmans-Rebours"
"5202",",",",","Huysmans-Rebours"
"5203","il","il","Huysmans-Rebours"
"5204","était","être","Huysmans-Rebours"
"5205","absolument","ADVTOT","Huysmans-Rebours"
"5206","incapable","ADJ","Huysmans-Rebours"
"5207","d'","de","Huysmans-Rebours"
"5208","expliquer","INF","Huysmans-Rebours"
"5209","deux","NUM","Huysmans-Rebours"
"5210","mots","NC","Huysmans-Rebours"
"5211","de","de","Huysmans-Rebours"
"5212",",",",","Huysmans-Rebours"
"5213","ne","ne","Huysmans-Rebours"
"5214","témoignait","VIMP","Huysmans-Rebours"
"5215","d'","de","Huysmans-Rebours"
"5216","aucune","aucun","Huysmans-Rebours"
"5217","pour","pour","Huysmans-Rebours"
"5218","les","le","Huysmans-Rebours"
"5219","langues","NCCOR","Huysmans-Rebours"
"5220","vivantes","ADJ","Huysmans-Rebours"
"5221",",",",","Huysmans-Rebours"
"5222","et","et","Huysmans-Rebours"
"5223","il","il","Huysmans-Rebours"
"5224","se","se","Huysmans-Rebours"
"5225","révéla","VPS","Huysmans-Rebours"
"5226","tel","tel","Huysmans-Rebours"
"5227","qu'","que","Huysmans-Rebours"
"5228","un","un","Huysmans-Rebours"
"5229","être","être","Huysmans-Rebours"
"5230","parfaitement","ADVTOT","Huysmans-Rebours"
"5231","obtus","PPAS","Huysmans-Rebours"
"5232",",",",","Huysmans-Rebours"
"5233","dès","dès","Huysmans-Rebours"
"5234","qu'","que","Huysmans-Rebours"
"5235","on","on","Huysmans-Rebours"
"5236","s'","se","Huysmans-Rebours"
"5237","efforça","VPS","Huysmans-Rebours"
"5238","de","de","Huysmans-Rebours"
"5239","lui","lui","Huysmans-Rebours"
"5240","apprendre","INF","Huysmans-Rebours"
"5241","les","le","Huysmans-Rebours"
"5242","premiers","ADJ","Huysmans-Rebours"
"5243","éléments","NC","Huysmans-Rebours"
"5244","de","de","Huysmans-Rebours"
"5245","les","le","Huysmans-Rebours"
"5246","sciences","NC","Huysmans-Rebours"
"5247",".",".","Huysmans-Rebours"
"5248","Sa","DETPOSS","Huysmans-Rebours"
"5249","famille","NC","Huysmans-Rebours"
"5250","se","se","Huysmans-Rebours"
"5251","préoccupait","VIMP","Huysmans-Rebours"
"5252","peu","peu","Huysmans-Rebours"
"5253","de","de","Huysmans-Rebours"
"5254","lui","lui","Huysmans-Rebours"
"5255",";",";","Huysmans-Rebours"
"5256","parfois","parfois","Huysmans-Rebours"
"5257","son","DETPOSS","Huysmans-Rebours"
"5258","père","NC","Huysmans-Rebours"
"5259","venait","VIMP","Huysmans-Rebours"
"5260","le","le","Huysmans-Rebours"
"5261","visiter","INF","Huysmans-Rebours"
"5262","à","à","Huysmans-Rebours"
"5263","le","le","Huysmans-Rebours"
"5264","pensionnat","NC","Huysmans-Rebours"
"5265",":",":","Huysmans-Rebours"
"5266","«","""","Huysmans-Rebours"
"5267","Bonjour","INTJ","Huysmans-Rebours"
"5268",",",",","Huysmans-Rebours"
"5269","bonsoir","NC","Huysmans-Rebours"
"5270",",",",","Huysmans-Rebours"
"5271","sois","ADV","Huysmans-Rebours"
"5272","sage","ADJ","Huysmans-Rebours"
"5273","et","et","Huysmans-Rebours"
"5274","travaille","PRES","Huysmans-Rebours"
"5275","bien","bien","Huysmans-Rebours"
"5276","»","""","Huysmans-Rebours"
"5277","À","à","Huysmans-Rebours"
"5278","les","le","Huysmans-Rebours"
"5279","vacances","NC","Huysmans-Rebours"
"5280",",",",","Huysmans-Rebours"
"5281","l'","le","Huysmans-Rebours"
"5282","été","NC","Huysmans-Rebours"
"5283",",",",","Huysmans-Rebours"
"5284","il","il","Huysmans-Rebours"
"5285","partait","VIMP","Huysmans-Rebours"
"5286","pour","pour","Huysmans-Rebours"
"5287","le","le","Huysmans-Rebours"
"5288","château","NC","Huysmans-Rebours"
"5289","de","de","Huysmans-Rebours"
"5290","Lourps","NC","Huysmans-Rebours"
"5291",";",";","Huysmans-Rebours"
"5292","sa","DETPOSS","Huysmans-Rebours"
"5293","présence","NC","Huysmans-Rebours"
"5294","ne","ne","Huysmans-Rebours"
"5295","tirait","VIMP","Huysmans-Rebours"
"5296","pas","pas","Huysmans-Rebours"
"5297","sa","DETPOSS","Huysmans-Rebours"
"5298","mère","NC","Huysmans-Rebours"
"5299","de","de","Huysmans-Rebours"
"5300","ses","DETPOSS","Huysmans-Rebours"
"5301","rêveries","NC","Huysmans-Rebours"
"5302",";",";","Huysmans-Rebours"
"5303","elle","elle","Huysmans-Rebours"
"5304","l'","le","Huysmans-Rebours"
"5305","apercevait","VIMP","Huysmans-Rebours"
"5306","à","à","Huysmans-Rebours"
"5307","peine","NCABS","Huysmans-Rebours"
"5308",",",",","Huysmans-Rebours"
"5309","ou","ou","Huysmans-Rebours"
"5310","le","le","Huysmans-Rebours"
"5311","contemplait","NC","Huysmans-Rebours"
"5312",",",",","Huysmans-Rebours"
"5313","pendant","pendant","Huysmans-Rebours"
"5314","quelques","quelque","Huysmans-Rebours"
"5315","secondes","NC","Huysmans-Rebours"
"5316",",",",","Huysmans-Rebours"
"5317","avec","avec","Huysmans-Rebours"
"5318","un","un","Huysmans-Rebours"
"5319","sourire","NC","Huysmans-Rebours"
"5320","presque","presque","Huysmans-Rebours"
"5321","douloureux","ADJ","Huysmans-Rebours"
"5322",",",",","Huysmans-Rebours"
"5323","puis","puis","Huysmans-Rebours"
"5324","elle","elle","Huysmans-Rebours"
"5325","s'","se","Huysmans-Rebours"
"5326","absorbait","VIMP","Huysmans-Rebours"
"5327","de","de","Huysmans-Rebours"
"5328","nouveau","ADJ","Huysmans-Rebours"
"5329","dans","dans","Huysmans-Rebours"
"5330","la","le","Huysmans-Rebours"
"5331","nuit","NC","Huysmans-Rebours"
"5332","factice","ADJ","Huysmans-Rebours"
"5333","dont","dont","Huysmans-Rebours"
"5334","les","le","Huysmans-Rebours"
"5335","épais","ADJ","Huysmans-Rebours"
"5336","rideaux","NC","Huysmans-Rebours"
"5337","de","de","Huysmans-Rebours"
"5338","les","le","Huysmans-Rebours"
"5339","croisées","NC","Huysmans-Rebours"
"5340","enveloppaient","VIMP","Huysmans-Rebours"
"5341","la","le","Huysmans-Rebours"
"5342","chambre","NC","Huysmans-Rebours"
"5343",".",".","Huysmans-Rebours"
"5344","Les","le","Huysmans-Rebours"
"5345","domestiques","NC","Huysmans-Rebours"
"5346","étaient","être","Huysmans-Rebours"
"5347","ennuyés","PPAS","Huysmans-Rebours"
"5348","et","et","Huysmans-Rebours"
"5349","vieux","ADJ","Huysmans-Rebours"
"5350",".",".","Huysmans-Rebours"
"5351","L'","le","Huysmans-Rebours"
"5352","enfant","NC","Huysmans-Rebours"
"5353",",",",","Huysmans-Rebours"
"5354","abandonné","PPAS","Huysmans-Rebours"
"5355","à","à","Huysmans-Rebours"
"5356","lui-même","lui-même","Huysmans-Rebours"
"5357",",",",","Huysmans-Rebours"
"5358","fouillait","VIMP","Huysmans-Rebours"
"5359","dans","dans","Huysmans-Rebours"
"5360","les","le","Huysmans-Rebours"
"5361",",",",","Huysmans-Rebours"
"5362","les","le","Huysmans-Rebours"
"5363","jours","NC","Huysmans-Rebours"
"5364","de","de","Huysmans-Rebours"
"5365","pluie","NC","Huysmans-Rebours"
"5366",";",";","Huysmans-Rebours"
"5367","errait","VIMP","Huysmans-Rebours"
"5368",",",",","Huysmans-Rebours"
"5369","les","le","Huysmans-Rebours"
"5370","après-midi","NC","Huysmans-Rebours"
"5371","de","de","Huysmans-Rebours"
"5372","beau","ADJ","Huysmans-Rebours"
"5373","temps","NC","Huysmans-Rebours"
"5374",",",",","Huysmans-Rebours"
"5375","dans","dans","Huysmans-Rebours"
"5376","la","le","Huysmans-Rebours"
"5377","campagne","NC","Huysmans-Rebours"
"5378",".",".","Huysmans-Rebours"
"5379","Sa","DETPOSS","Huysmans-Rebours"
"5380","grande","ADJ","Huysmans-Rebours"
"5381","joie","NCABS","Huysmans-Rebours"
"5382","était","être","Huysmans-Rebours"
"5383","de","de","Huysmans-Rebours"
"5384","descendre","INF","Huysmans-Rebours"
"5385","dans","dans","Huysmans-Rebours"
"5386","le","le","Huysmans-Rebours"
"5387","vallon","NC","Huysmans-Rebours"
"5388",",",",","Huysmans-Rebours"
"5389","de","de","Huysmans-Rebours"
"5390","gagner","INF","Huysmans-Rebours"
"5391","Jutigny","NP","Huysmans-Rebours"
"5392",",",",","Huysmans-Rebours"
"5393","un","un","Huysmans-Rebours"
"5394","village","NC","Huysmans-Rebours"
"5395","planté","PPAS","Huysmans-Rebours"
"5396","à","à","Huysmans-Rebours"
"5397","le","le","Huysmans-Rebours"
"5398","pied","NCCOR","Huysmans-Rebours"
"5399","de","de","Huysmans-Rebours"
"5400","les","le","Huysmans-Rebours"
"5401","collines","NC","Huysmans-Rebours"
"5402",",",",","Huysmans-Rebours"
"5403","un","un","Huysmans-Rebours"
"5404","petit","ADJ","Huysmans-Rebours"
"5405","tas","NC","Huysmans-Rebours"
"5406","de","de","Huysmans-Rebours"
"5407","maisonnettes","NC","Huysmans-Rebours"
"5408","coiffées","PPAS","Huysmans-Rebours"
"5409","de","de","Huysmans-Rebours"
"5410","bonnets","NC","Huysmans-Rebours"
"5411","de","de","Huysmans-Rebours"
"5412","chaume","NC","Huysmans-Rebours"
"5413","parsemés","PPAS","Huysmans-Rebours"
"5414","de","de","Huysmans-Rebours"
"5415","touffes","NC","Huysmans-Rebours"
"5416","de","de","Huysmans-Rebours"
"5417","joubarbe","NC","Huysmans-Rebours"
"5418","et","et","Huysmans-Rebours"
"5419","de","de","Huysmans-Rebours"
"5420","bouquets","NC","Huysmans-Rebours"
"5421","de","de","Huysmans-Rebours"
"5422","mousse","NC","Huysmans-Rebours"
"5423",".",".","Huysmans-Rebours"
"5424","Il","il","Huysmans-Rebours"
"5425","se","se","Huysmans-Rebours"
"5426","couchait","VIMP","Huysmans-Rebours"
"5427","dans","dans","Huysmans-Rebours"
"5428","la","le","Huysmans-Rebours"
"5429","prairie","NC","Huysmans-Rebours"
"5430",",",",","Huysmans-Rebours"
"5431","à","à","Huysmans-Rebours"
"5432","ombre","NC","Huysmans-Rebours"
"5433","de","de","Huysmans-Rebours"
"5434","les","le","Huysmans-Rebours"
"5435","hautes","NC","Huysmans-Rebours"
"5436","meules","ADJ","Huysmans-Rebours"
"5437",",",",","Huysmans-Rebours"
"5438","écoutant","PPRES","Huysmans-Rebours"
"5439","le","le","Huysmans-Rebours"
"5440","bruit","NC","Huysmans-Rebours"
"5441","sourd","NC","Huysmans-Rebours"
"5442","de","de","Huysmans-Rebours"
"5443","les","le","Huysmans-Rebours"
"5444","moulins","NC","Huysmans-Rebours"
"5445","à","à","Huysmans-Rebours"
"5446","eau","NC","Huysmans-Rebours"
"5447",",",",","Huysmans-Rebours"
"5448","humant","PPRES","Huysmans-Rebours"
"5449","le","le","Huysmans-Rebours"
"5450","souffle","NC","Huysmans-Rebours"
"5451","frais","ADJ","Huysmans-Rebours"
"5452","de","de","Huysmans-Rebours"
"5453","la","le","Huysmans-Rebours"
"5454","Voulzie","NP","Huysmans-Rebours"
"5455",".",".","Huysmans-Rebours"
"5456","Parfois","parfois","Huysmans-Rebours"
"5457",",",",","Huysmans-Rebours"
"5458","il","il","Huysmans-Rebours"
"5459","poussait","VIMP","Huysmans-Rebours"
"5460","jusqu'","jusque","Huysmans-Rebours"
"5461","à","à","Huysmans-Rebours"
"5462","les","le","Huysmans-Rebours"
"5463","tourbières","NC","Huysmans-Rebours"
"5464",",",",","Huysmans-Rebours"
"5465","à","à","Huysmans-Rebours"
"5466","le","le","Huysmans-Rebours"
"5467","hameau","NC","Huysmans-Rebours"
"5468","vert","ADJ","Huysmans-Rebours"
"5469","et","et","Huysmans-Rebours"
"5470","noir","NC","Huysmans-Rebours"
"5471","de","de","Huysmans-Rebours"
"5472","Longueville","NP","Huysmans-Rebours"
"5473","ou","ou","Huysmans-Rebours"
"5474","bien","bien","Huysmans-Rebours"
"5475","il","il","Huysmans-Rebours"
"5476","grimpait","VIMP","Huysmans-Rebours"
"5477","sur","sur","Huysmans-Rebours"
"5478","les","le","Huysmans-Rebours"
"5479","côtes","NC","Huysmans-Rebours"
"5480","balayées","PPAS","Huysmans-Rebours"
"5481","par","par","Huysmans-Rebours"
"5482","le","le","Huysmans-Rebours"
"5483","vent","NC","Huysmans-Rebours"
"5484","et","et","Huysmans-Rebours"
"5485","d'","de","Huysmans-Rebours"
"5486","où","où","Huysmans-Rebours"
"5487","l'","le","Huysmans-Rebours"
"5488","étendue","NC","Huysmans-Rebours"
"5489","était","être","Huysmans-Rebours"
"5490","immense","ADJ","Huysmans-Rebours"
"5491",".",".","Huysmans-Rebours"
"5492","Là","là","Huysmans-Rebours"
"5493",",",",","Huysmans-Rebours"
"5494","il","il","Huysmans-Rebours"
"5495","d'","de","Huysmans-Rebours"
"5496","un","un","Huysmans-Rebours"
"5497","côté","NC","Huysmans-Rebours"
"5498",",",",","Huysmans-Rebours"
"5499","sous","sous","Huysmans-Rebours"
"5500","lui","lui","Huysmans-Rebours"
"5501",",",",","Huysmans-Rebours"
"5502","la","le","Huysmans-Rebours"
"5503","vallée","NC","Huysmans-Rebours"
"5504","de","de","Huysmans-Rebours"
"5505","la","le","Huysmans-Rebours"
"5506","Seine","NP","Huysmans-Rebours"
"5507",",",",","Huysmans-Rebours"
"5508","fuyant","PPRES","Huysmans-Rebours"
"5509","à","à","Huysmans-Rebours"
"5510","perte","NC","Huysmans-Rebours"
"5511","de","de","Huysmans-Rebours"
"5512","vue","NC","Huysmans-Rebours"
"5513","et","et","Huysmans-Rebours"
"5514","se","se","Huysmans-Rebours"
"5515","confondant","PPRES","Huysmans-Rebours"
"5516","avec","avec","Huysmans-Rebours"
"5517","le","le","Huysmans-Rebours"
"5518","bleu","NC","Huysmans-Rebours"
"5519","de","de","Huysmans-Rebours"
"5520","le","le","Huysmans-Rebours"
"5521","ciel","NC","Huysmans-Rebours"
"5522","fermé","PPAS","Huysmans-Rebours"
"5523","à","à","Huysmans-Rebours"
"5524","le","le","Huysmans-Rebours"
"5525","loin","ADV","Huysmans-Rebours"
"5526",";",";","Huysmans-Rebours"
"5527","de","de","Huysmans-Rebours"
"5528","l'","le","Huysmans-Rebours"
"5529",",",",","Huysmans-Rebours"
"5530","tout","tout","Huysmans-Rebours"
"5531","en","en","Huysmans-Rebours"
"5532","haut","NC","Huysmans-Rebours"
"5533",",",",","Huysmans-Rebours"
"5534","à","à","Huysmans-Rebours"
"5535","l'","le","Huysmans-Rebours"
"5536","horizon","NC","Huysmans-Rebours"
"5537",",",",","Huysmans-Rebours"
"5538","les","le","Huysmans-Rebours"
"5539","églises","NC","Huysmans-Rebours"
"5540","et","et","Huysmans-Rebours"
"5541","la","le","Huysmans-Rebours"
"5542","tour","NC","Huysmans-Rebours"
"5543","de","de","Huysmans-Rebours"
"5544","Provins","NP","Huysmans-Rebours"
"5545","qui","qui","Huysmans-Rebours"
"5546","semblaient","VIMP","Huysmans-Rebours"
"5547","trembler","INF","Huysmans-Rebours"
"5548",",",",","Huysmans-Rebours"
"5549","à","à","Huysmans-Rebours"
"5550","le","le","Huysmans-Rebours"
"5551","soleil","NC","Huysmans-Rebours"
"5552",",",",","Huysmans-Rebours"
"5553","dans","dans","Huysmans-Rebours"
"5554","la","le","Huysmans-Rebours"
"5555","pulvérulence","NC","Huysmans-Rebours"
"5556","dorée","ADJ","Huysmans-Rebours"
"5557","de","de","Huysmans-Rebours"
"5558","l'","le","Huysmans-Rebours"
"5559","air","NC","Huysmans-Rebours"
"5560",".",".","Huysmans-Rebours"
"5561","Il","il","Huysmans-Rebours"
"5562","lisait","VIMP","Huysmans-Rebours"
"5563","ou","ou","Huysmans-Rebours"
"5564","rêvait","VIMP","Huysmans-Rebours"
"5565",",",",","Huysmans-Rebours"
"5566","s'","se","Huysmans-Rebours"
"5567","jusqu'","jusque","Huysmans-Rebours"
"5568","à","à","Huysmans-Rebours"
"5569","la","le","Huysmans-Rebours"
"5570","nuit","NC","Huysmans-Rebours"
"5571","de","de","Huysmans-Rebours"
"5572","solitude","NCABS","Huysmans-Rebours"
"5573",";",";","Huysmans-Rebours"
"5574","à","à","Huysmans-Rebours"
"5575","force","NC","Huysmans-Rebours"
"5576","de","de","Huysmans-Rebours"
"5577","méditer","INF","Huysmans-Rebours"
"5578","sur","sur","Huysmans-Rebours"
"5579","les","le","Huysmans-Rebours"
"5580","mêmes","même","Huysmans-Rebours"
"5581","pensées","NCABS","Huysmans-Rebours"
"5582",",",",","Huysmans-Rebours"
"5583","son","DETPOSS","Huysmans-Rebours"
"5584","esprit","NCABS","Huysmans-Rebours"
"5585","se","se","Huysmans-Rebours"
"5586","concentra","VF","Huysmans-Rebours"
"5587","et","et","Huysmans-Rebours"
"5588","ses","DETPOSS","Huysmans-Rebours"
"5589","idées","NC","Huysmans-Rebours"
"5590","encore","encore","Huysmans-Rebours"
"5591","indécises","ADJ","Huysmans-Rebours"
"5592","mûrirent","VPS","Huysmans-Rebours"
"5593",".",".","Huysmans-Rebours"
"5594","Après","après","Huysmans-Rebours"
"5595","chaque","chaque","Huysmans-Rebours"
"5596","vacance","NC","Huysmans-Rebours"
"5597",",",",","Huysmans-Rebours"
"5598","il","il","Huysmans-Rebours"
"5599","revenait","VIMP","Huysmans-Rebours"
"5600","chez","chez","Huysmans-Rebours"
"5601","ses","DETPOSS","Huysmans-Rebours"
"5602","maîtres","NC","Huysmans-Rebours"
"5603","plus","plus","Huysmans-Rebours"
"5604","réfléchi","PPAS","Huysmans-Rebours"
"5605","et","et","Huysmans-Rebours"
"5606","plus","plus","Huysmans-Rebours"
"5607","têtu","têtre","Huysmans-Rebours"
"5608",";",";","Huysmans-Rebours"
"5609","ces","ce","Huysmans-Rebours"
"5610","changements","NC","Huysmans-Rebours"
"5611","ne","ne","Huysmans-Rebours"
"5612","leur","lui","Huysmans-Rebours"
"5613","échappaient","VIMP","Huysmans-Rebours"
"5614","pas","pas","Huysmans-Rebours"
"5615",";",";","Huysmans-Rebours"
"5616","perspicaces","NC","Huysmans-Rebours"
"5617","et","et","Huysmans-Rebours"
"5618","retors","NC","Huysmans-Rebours"
"5619",",",",","Huysmans-Rebours"
"5620","habitués","PPAS","Huysmans-Rebours"
"5621","par","par","Huysmans-Rebours"
"5622","leur","DETPOSS","Huysmans-Rebours"
"5623","métier","NC","Huysmans-Rebours"
"5624","à","à","Huysmans-Rebours"
"5625","sonder","INF","Huysmans-Rebours"
"5626","jusqu'","jusque","Huysmans-Rebours"
"5627","le","le","Huysmans-Rebours"
"5628","plus","plus","Huysmans-Rebours"
"5629","profond","ADJ","Huysmans-Rebours"
"5630","de","de","Huysmans-Rebours"
"5631","les","le","Huysmans-Rebours"
"5632","âmes","NC","Huysmans-Rebours"
"5633",",",",","Huysmans-Rebours"
"5634","ils","ils","Huysmans-Rebours"
"5635","ne","ne","Huysmans-Rebours"
"5636","furent","être","Huysmans-Rebours"
"5637","point","PPAS","Huysmans-Rebours"
"5638","les","le","Huysmans-Rebours"
"5639","dupes","NC","Huysmans-Rebours"
"5640","de","de","Huysmans-Rebours"
"5641","cette","ce","Huysmans-Rebours"
"5642","intelligence","NCABS","Huysmans-Rebours"
"5643","éveillée","PPAS","Huysmans-Rebours"
"5644","mais","mais","Huysmans-Rebours"
"5645","indocile","ADJ","Huysmans-Rebours"
"5646",";",";","Huysmans-Rebours"
"5647","ils","ils","Huysmans-Rebours"
"5648","comprirent","VPS","Huysmans-Rebours"
"5649","que","que","Huysmans-Rebours"
"5650","jamais","jamais","Huysmans-Rebours"
"5651","cet","ce","Huysmans-Rebours"
"5652","élève","NC","Huysmans-Rebours"
"5653","contribuerait","VCOND","Huysmans-Rebours"
"5654","à","à","Huysmans-Rebours"
"5655","la","le","Huysmans-Rebours"
"5656","gloire","NCABS","Huysmans-Rebours"
"5657","de","de","Huysmans-Rebours"
"5658","leur","DETPOSS","Huysmans-Rebours"
"5659","maison","NC","Huysmans-Rebours"
"5660",",",",","Huysmans-Rebours"
"5661","et","et","Huysmans-Rebours"
"5662","comme","comme","Huysmans-Rebours"
"5663","sa","DETPOSS","Huysmans-Rebours"
"5664","était","être","Huysmans-Rebours"
"5665","riche","ADJ","Huysmans-Rebours"
"5666","et","et","Huysmans-Rebours"
"5667","paraissait","VIMP","Huysmans-Rebours"
"5668","se","se","Huysmans-Rebours"
"5669","désintéresser","INF","Huysmans-Rebours"
"5670","de","de","Huysmans-Rebours"
"5671","son","DETPOSS","Huysmans-Rebours"
"5672","avenir","NC","Huysmans-Rebours"
"5673",",",",","Huysmans-Rebours"
